S. No;Quotation;Author
479;What is a poet ? An unhappy person who conceals profound anguish in his heart but whose lips are so formed that as sighs and cries pass over them they sound like beautiful music…And people crowd around the poet and say to him, Sing again soon—in other words, may new sufferings torture your soul, and may your lips continue to be formed as before, because your screams would only alarm us, but the music is charming.;Søren Kierkegaard,
480;If anything is to be done, one must try to introduce Christianity into Christendom.;Søren Kierkegaard,
481;If anyone thinks he has faith and yet is indifferent towards this possession, is neither cold nor hot, he can be certain that he does not have faith. If anyone thinks he is Christian and yet is indifferent towards his being a Christian, then he really is not one at all. What would we think of a man who affirmed that he was in love and also that it was a matter of indifference to him?;Kierkegaard, Søren
482;Only by investing and speaking yourvision with passion can the truth, oneway or the other, finally penetrate thereluctance of the world.;SOREN KIERKEGAARD
483;"I lack altogether patience to live. I cannot see the grass grow, but since I cannot I don’t feel at all inclined to. My views are the fleeting observations of a ‘travelling scholar’9 rushing through life in the greatest haste. People say the good Lord fills the stomach before the eyes. I haven’t noticed; my eyes have had enough and I am weary of everything, and yet I hunger.";Søren Kierkegaard,
484;What shall it profit the sick man to imagine himself, as all men do, to be well, if the physician says he is sick!;Søren Kierkegaard,
485;The present state of the world and the whole of life is diseased. If I were a doctor and were asked for my advice, I would reply: Create silence! The Word of God cannot be heard in the noisy world of today. And even if it were blazoned forth with all the panoply of noise so that it could be heard in the midst of all the other noise, then it would no longer be the Word of God. Therefore create Silence.;Søren Kierkegaard
486;The profundity of Christianity is that Christ is both our redeemer and our judge, not that one is our redeemer and another is our judge, for then we certainly come under judgement, but that the redeemer and the judge are the same.;Søren Kierkegaard,
487;The person who lives in the ethical sphere lives intentionally, intensively. Such a person possesses character and conviction, and is thus willing to sacrifice himself for something greater than oneself.;Søren Kierkegaard,
488;"I have just returned from a party of which I was the life and soul; wit poured from my lips, everyone laughed and admired me–but I went away– and wanted to shoot myself.";Søren Kierkegaard,
489;The only fundamental basis for understanding is that one himself becomes what he understands and one understands only in proportion to becoming himself that which he understands.;Søren Kierkegaard,
490;Thus to get the princess, to livewith her joyfully and happily day in and day out (for it is also conceivable thatthe knight of resignation might get the princess, but that his soul had discerned theimpossibility of their future happiness), thus to live joyfully and happily everyinstant by virtue of the absurd, every instant to see the sword hanging over thehead of the beloved, and yet to find repose in the pain of resignation, but joy byvirtue of the absurd—this is marvellous.;Soren Kierkegaard,
491;Battle day and night against the guile of oblivion...;Søren Kierkegaard,
492;Just as in earthly life lovers long for the moment when they are able to breath forth their love for each other, to let their souls blend in a soft whisper, so the mystic longs for the moment when in prayer he can, as it were, creep into God;Soren Kierkegaard
493;At vove er at miste fodfæstet et kort øjeblik - ikke at vove er at miste sig selv.;Søren Kierkegaard
494;"The more consciousness there is in such a sufferer who in despair wills to be himself, the more his despair intensifies and becomes demonic. It usually originates as follows. A self that in despair wills to be itself is pained in some distress or other that does not allow itself to be taken away from or separated from his concrete self. So now he makes precisely this torment the object of all his passion, and finally it becomes a demonic age. By now, even if God in heaven and all the angels offered to help him out of it- no, he does not want that, now it is too late. Once he would gladly have given everything to be rid of this agony, but he was kept waiting; now it is too late, now he would rather rage against everything and be the wronged victim of the whole world and of all life, and it is of particular significance to him to make sure that he has his torment on hand and that no one takes it away from him- for then he would not be able to demonstrate and prove to himself that he is right. This eventually becomes such a fixation that for an extremely strange reason he is afraid of eternity, afraid that it will separate him from his, demonically understood, infinite superiority over other men, his justification, demonically understood, for being what he is.";Søren Kierkegaard,
495;"An individual in despair despairs over something. So it seems for a moment, but only for a moment; in the same moment the true despair or despair in its true form shows itself. In despairing over something, he really despaired over himself, and now he wants to get rid of himself. For example, when the ambitious man whose slogan is Either Caesar or nothing does not get to be Caesar, he despairs over it. But this also means something else: precisely because he did not get to be Caesar, he now cannot bear to be himself. Consequently he does not despair because he did not get to be Caesar but despairs over himself because he did not get to be Caesar.";Søren Kierkegaard,
496;A man’s life is wasted when he lives on, so deceived by the joys of life or by its sorrows, that he never becomes decisively conscious of himself as spirit, as self, that is, he never is aware in the deepest sense that there is a God.;Søren Kierkegaard
497;"Whatever can be the meaning of this life? If we divide mankind into two large classes, we can say that one works for a living, the other has no need to. But working for one’s living can’t be the meaning of life; to suppose that constantly procuring the conditions of life should be the answer to the question of the meaning of what they make possible is a contradiction. Usually the lives of the other class have no meaning either, beyond that of consuming the said conditions. To say that";Søren Kierkegaard,
498;In the deepest sense you shall make yourself nothing, become nothing before God, learn to be silent. In this silence is the beginning, which is to seek first God's kingdom;Søren Kierkegaard,
499;"A passionately tumultuous age wants to overthrow everything, subvert everything. A revolutionary but passionless and reflecting age changes the manifestation of power into a dialectical sleight-of-hand, letting everything remain but slyly defrauding it of its meaning; it culminates, instead of in an uprising, in the exhaustion of the inner reality of the relationships, in a reflecting tension that nevertheless lets everything remain; and it has transformed the whole of existence into an equivocation.";Kierkegaard, Soren
500;And although this (marital love) cannot be portrayed artistically, then let your consolation be, as it is mine, that we are not to read about or listen to or look at what is highest and the most beautiful in life, but are, if you please, to live it. Therefore, when I readily admit that romantic love lends itself much better to artistic portrayal than marital love, this does not at all mean that it is less esthetic than the other - on the contrary, it is more esthetic.;Kierkegaard
501;Hope is passion for what is possible.;Søren Kierkegaard
502;Mükemmel aşk, insanın kendisini mutsuz edecek kişiyi sevmesidir.;Søren Kierkegaard
503;"Love has many positionings. Cordelia makes good progress. She is sitting on my lap, her arm twines, soft and warm, round my neck; she leans upon my breast, light, without gravity; the soft contours scarcely touch me; like a flower her lovely figure twines about me, freely as a ribbon. Her eyes are hidden beneath her lashes, her bosom is dazzling white like snow, so smooth that my eye cannot rest, it would glance off if her bosom were not moving. What does this movement mean? Is it love? Perhaps. It is a presentiment of it, its dream. It still lacks energy. Her embrace is comprehensive, as the cloud enfolding the transfigured one, detached as a breeze, soft as the fondling of a flower; she kisses me unspecifically, as the sky kisses the sea, gently and quietly, as the dew kisses a flower, solemnly as the sea kisses the image of the moon. I would call her passion at this moment a naive passion. When the change has been made and I begin to draw back in earnest, she will call on everything she has to captivate me. She has no other means for this purpose than the erotic itself, except that this will now appear on a quite different scale. It then becomes a weapon in her hand which she wields against me. I then have the reflected passion. She fights for her own sake because she knows I possess the erotic; she fights for her own sake so as to overcome me. She herself is in need of a higher form of the erotic. What I taught her to suspect by arousing her, my coldness now teaches her to understand but in such a way that she thinks it is she herself who discovers it. So she wants to take me by surprise; she wants to believe that she has outstripped me in audacity, and that makes me her prisoner. Her passion then becomes specific, energetic, conclusive, dialectical; her kiss total, her embrace without hesitation.—In me she seeks her freedom and finds it the better the more firmly I encompass her. The engagement bursts. When that has happened she needs a little rest, so that nothing unseemly will emerge from this wild tumult. Her passion then composes itself once more and she is mine. —from_Either/Or: A Fragment of Life_, (as written by his pseudonym Johannes the Seducer)";Søren Kierkegaard
504;"Now the story of Abraham has the remarkable property that it is always glorious, however poorly one may understand it; yet here again the proverb applies, that all depends upon whether one is willing to labor and be heavy laden. But they will not labor, and yet they would understand the story.";Søren Kierkegaard,
505;Only the Eternal is always appropriate and always present, is always true. Only the Eternal applies to each human being, whatever his age may be.;Soren Kierkegaard,
506;"I have often discovered how profitable it is to give sorrow an ethical expression, not to erase the aesthetic factor in sorrow but to master it ethically. As long as sorrow is quiet and humble, I do not fear it; if it becomes vehement and passionate, sophistical so that it deludes me into despondency, I arise, I brook no rebellion, I will have nothing in the world cheat me of what I have from God’s hand as a gift of grace. I do not chase sorrow away, do not try to forget it, I repent.";Søren Kierkegaard,
507;In spiritlessness there is no anxiety. It is too happy for that, too content, and too spiritless. But this is a very pitiable reason, and paganism differs from spiritlessness in the former being definable as directed toward spirit and the latter as directed from spirit. Paganism is, if you will, the absence of spirit and thus differs far from spiritlessness. Paganism is in this respect much to be preferred. Spiritlessness is spirit’s stagnation and ideality’s caricature. Spiritlessness is accordingly not literally dumb when it comes to repetition by rote, but it is dumb [has lost its sense] in the way in which it is said of salt that it has lost its flavor† and when one asks then how it can be salted.;Søren Kierkegaard,
508;But one must not think ill of the paradox, for the paradox is the passion of thought, and the thinker without the paradox is like the lover without passion: a mediocre fellow.;Soren Kierkegaard
509;"Alţii sunt virtuoşi ziua şi păcătuiesc noaptea;eu ziua sunt pură prefecătorie,iar noaptea sunt numai dorinţe.";Søren Kierkegaard,
510;"Freedom is always in communication (even taking the religious meaning of the word into consideration does no harm); unfreedom withdraws ever more in its reserve and will not communicate.";Søren Kierkegaard,
511;"my whole authorship pertains to Christianity, to the issue: becoming a Christian, with direct and indirect polemical aim at that enormous illusion, Christendom-- Soren Kierkegaard ""The Point of View for My Work as an Author, (The Single Individual)";Soren kierkagaard
512;También yo he sentido la inclinación a obligarme, casi de una manera demoníaca, a ser más fuerte de lo que en realidad soy.;Soren Kierkergaard
513;No woman in maternity confinement can have stranger and more impatient wishes than I have.;Søren Kierkegaard
514;Every individual, however original he may be, is still a child of God, of his age, of his nation, of his family and friends. Only thus is he truly himself. If in all this relativity he tries to be the absolute, then he becomes ridiculous.;Søren Kierkegaard,
515;[The writer] can easily foresee his fate ... in an age when an author who wants to have readers must take care to write in such a way that the book can easily be perused during an afternoon nap ....;Soren Kierkegaard
516;"In the first case, he personally enjoyed the esthetic; in the second case, he esthetically enjoyed his personality.";Søren Kierkegaard
517;"It is really true what philosophy tells us, that life must be understood backwards. But with this, one forgets the second proposition, that it must be lived forwards. A proposition which, the more it is subjected to careful thought, the more it ends up concluding precisely that life at any given moment cannot really ever be fully understood; exactly because there is no single moment where time stops completely in order for me to take position [to do this]: going backwards.";Søren Kierkegaard,
518;<...> tikėjimą turėti - pavydėtina dalia, net jei niekas apie tai nežinotų. (7-8);Soren Kierkegaard,
519;"...The discrepancy is that the ethical self should be found immanently in the despair, that the individual won himself by persisting in the despair. True, he has used something within the category of freedom, choosing himself, which seem to remove the difficulty, one that presumably has not struck many, since philosophically doubting everything and then finding the true beginning goes one, two, three. But that does not help. In despairing, I use myself to despair, and therefore I can indeed despair of everything by myself. But if I do this, I cannot come back by myself. It is in this moment of decision that the individual needs divine assistance, whereas it is quite correct that in order to be at this point one must first have understood the existence-relation between the aesthetic and the ethical; that is to say, by being there in passion and inwardness, one surely becomes aware of the religious - and of the leap.";Søren Kierkegaard,
520;"People had not so much as the courage and honesty and truth to say to God bluntly, ""That I cannot agree to,"" they resorted to hypocrisy and thought they were perfectly secure. pp 168-6";Søren Kierkegaard,
521;Of what good is an armchair of velvet when the rest of the environment does not match? It is like a man going around naked and wearing a three-cornered hat.;Søren Kierkegaard,
522;I am a fork, and I will stick you!;Soren Kierkegaard
523;There are, as is known, insects that die in the moment of fertilization. So it is with all joy: life’s highest, most splendid moment of enjoyment is accompanied by death.;Soren Kierkegaard
524;Language is partly something originally given, partly that which develops freely. And just as the individual... can never reach the point at which he becomes absolutely independent ... so too with language.;Soren Kierkegaard
525;I need the enchantment of creative work to help me forget life's mean pettiness.;Soren Kierkegaard
527;That’s why my soul always reverts to the Old Testament and to Shakespeare. There at least one feels that it’s human beings talking. There people hate, people love, people murder their enemy and curse his descendants through all generations, there people sin.;Søren Kierkegaard,
528;The best proof adduced of the wretchedness of life is that derived from contemplating its glory.;Søren Kierkegaard,
529;What is the New Testament? A handbook for those who are to be sacrificed.;Soren Kierkegaard
530;Truth always rests with the minority … because the minority is generally formed by those who really have an opinion, while the strength of a majority is illusory, formed by the gangs who have no opinion.;Soren Kierkegaard
531;I raise myself up once more, look about the room with an indescribable peace of mind, and then it’s goodnight, down under the eiderdown.;Søren Kierkegaard,
532;For as the Good is only a single thing, so all ways lead to the Good, even the false ones: when the repentant one follows the same way back.;Søren Kierkegaard,
533;ღმერთის რწმენჿ ჿდჿმიჿნში უკიდურესი სჿსჿწჿრკვეთილებისჿ დჿ თჿვზჿრის პირჿბებში იღვიძებს;Søren Kierkegaard
534;Because of the a priori element in intention, good intentions are so tempting - compared with a successive unfolding in time - and have so often in them some narcotic which develops an inner gaze instead of a resilience that begets energy.;Søren Kierkegaard
535;For whether it be the lightly armed desire of youth which it is presumed will press forward to victory, or whether it be the mature man s determination that will fight its way through life, they both count on having a long time at their disposal. They presuppose, in the plans for their efforts, a generation or at least a number of years, and therefore they waste a great deal of time and on that account the whole thing so readily ends in delusion.;Søren Kierkegaard,
537;Tenía una confidente íntima -mi melancolía-, y en medio de mi alegría, en medio de mi trabajo, ella me atrae, me llama a un lado aunque físicamente yo permanezca en el lugar. Es la más fiel amante que haya conocido.... Søren Kierkegaard's Journals and Papers;Soren Kierkegaard
538;"Man is spirit. But what is spirit? Spirit is the self. But what is the self? The self is a relation which relates itself to its own self, or it is that in the relation [which accounts for it] that the relation relates itself to its own self; the self is not the relation but [consists in the fact] that the relation relates itself to its own self. Man is a synthesis of the infinite and the finite, of the temporal and the eternal, of freedom and necessity, in short it is a synthesis. A synthesis is a relation between two factors. So regarded, man is not yet a self.";Søren Kierkegaard
539;"Besides my other numerous circle of acquaintances I have one more intimate confidant – my melancholy. In the midst of my joy, in the midst of my work, he waves to me, calls me to one side, even though physically I stay put. My melancholy is the most faithful mistress I have known; what wonder, then, that I love her in return. […]";Søren Kierkegaard,
540;A trăit întâmplări destul de triste,în general lucruri care-ţi taie cheful de pălăvrăgeală ordinară.Tatăl şi mama ei n-au fost fericiţi împreună.Ceea ce pe o fată oarecare o atrage,pe ea o lasă indiferentă.S-ar părea chiar să nu ştie care e rolul adevărat al unei fete.Poate că uneori îşi doreşte să nu fie fată,ci băiat.;Søren Kierkegaard,
541;One becomes weary only of what is new.;Soren Kierkegaard
542;How barren is my soul and thought, and yet incessantly tormented by vacuous, rapturous and agonizing birth pangs! Is my spirit to be forever tongue-tied? Must I always babble? What I need is a voice as penetrating as the glance of Lynceus, terrifying as the sigh of the giants, persistent as a sound of nature, mocking as a frost-chilled gust of wind, malicious as Echo's callous scorn, with a compass from the deepest bass to the most melting chest-notes, modulating from the whisper of gentle holiness to the violent fury of rage. That is what I need to get air, to give expression to what is on my mind, to stir the bowels of my wrath and of my sympathy. But my voice is only hoarse like the cry of a gull, or dying away like the blessing upon the lips of the dumb.;Soren Kierkegaard
543;Bulutların hızlı uçuşları, ışık ve karanlığın birbirini kovalaması beni öylesine sarhoş eder ki uyanık olduğum halde düş görürüm;Søren Kierkegaard,
544;Everything depends upon how one is placed.;Søren Kierkegaard,
545;"Bir genç kızı ne korkutur? Tin. Neden? Çünkü tin onun tüm dişi varlığının yadsınmasına yol açar. Erkeksi güzel bakışlar, çekici bir kişilik vs. iyi özelliklerdir ve bunlarla fetihler yapılabilir; ama asla kesin bir zafer kazanılamaz. Neden? Çünkü o zaman kızla, kızın kendi alanında savaş edilmiştir ve orda kız daima daha güçlüdür. Bu yöntemlerle bir kızın yüzü kızartılabilir, mahcup duruma düşürülebilir; ama güzelliğini ilginç hale getiren o anlatılması olanaksız, büyüleyici endişe uyandırılamaz.";Søren Kierkegaard,
547;"Aşk için her şey imgedir; ama imge de hakikattir.";Søren Kierkegaard,
548;There is not a single human being who does not despair at least a little, in whose innermost being there does not dwell an uneasiness, an unquiet, a discordance, an anxiety in the face of an unknown something.;Soren Kierkegaard,
549;La vita può essere capita solo all'indietro, ma va vissuta in avanti.;Kierkegaard
551;De omnibus dubitandum est;Søren Kierkegaard
553;"Kierkegaard stands against every form of thinking that bypasses the individual or enables the individual to escape his responsibility before God. He also made an absolute demand that idea should be translated into existence (being and doing), which is exactly what his contemporaries, in his opinion, failed to do: Most systematizers stand in the same relation to their systems as the man who builds a great castle and lives in an adjoining shack; they do not live in their great systematic structure. But in spiritual matters this will always be a crucial objection. Metaphorically speaking, a person’s ideas must be the building he lives in – otherwise there is something terribly wrong.";Søren Kierkegaard,
554;... he will seek vainly to the right and to the left and in the newspapers for a guarantee that he has actually been amused.For a sophisticated person, on the other hand, who is still unembarrassed enough to dare to be amused all by himself, who has enough self-confidence to know, without seeking advice from anyone else, whether he has been amused, farce will perhaps have a very special meaning, in that now with the spaciousness of abstraction and now with the presentation of a tangible actuality, it will affect his mood differently.He will, of course refrain from bringing a fixed and definite mood with him so that everything affects him in relation to that mood. He will have perfected his mood, in that he will be able to keep himself in a condition where no particular mood is present, but where all moods are possible.;Søren Kierkegaard,
555;In order to help another effectively I must understand more than he – yet first of all surely I must understand what he understands. If I do not know that, my greater understanding will be of no help to him. If, however, I am disposed to plume myself on my greater understanding, it is because I am vain or proud, so that at bottom, instead of benefiting him, I want to be admired.;Søren Kierkegaard,
557;"Is this the same teaching, when Christ says to the rich young man, ""Sell all that thou hast, and give it to the poor""; and when the priest says, ""Sell all that thou hast and...give it to me""?";Søren Kierkegaard,
559;This is the profound secret of innocence, that at the same time it is dread.;Soren Kierkegaard
560;Sâu thẳm trong đáy lòng mỗi ngưỿi vẫn hiện hữu một niỿm khoắc khoải vỿ nỗi cô đơn giữa thế gian, sợ bị Chúa lãng quên, sợ bị chìm lắng giữa triệu triệu ngưỿi. Dù tự trấn an mình bằng cách dựa vào thân bằng quyến thuộc thì lòng vẫn cứ hoang mang, khó mà dối mình rằng mối lo ấy đã được cất bỿ.;Søren Kierkegaard
562;It is not truth that rules the world but illusions.;Søren Kierkegaard,
563;"Now we will let the knight of faith appear in the rôle just described. He makesexactly the same movements as the other knight, infinitely renounces claim to thelove which is the content of his life, he is reconciled in pain; but then occurs theprodigy, he makes still another movement more wonderful than all, for he says, Ibelieve nevertheless that I shall get her, in virtue, that is, of the absurd, in virtueof the fact that with God all things are possible.";Soren Kierkegaard,
565;There are two ways to be fooled: one is to believe what isn't true, the other is to refuse to believe what is true.;Soren Kierkegaard
566;It costs a man just as much or even more to go to hell than to come to heaven. Narrow, exceedingly narrow is the way to perdition!;Soren Kierkegaard
567;One must see how laughter is feared above all other sorts of attack, how even a man who had boldly encountered mortal peril for a cause that did not concern him, would hardly hesitate to betray father and mother in case the danger were laughter.;Søren Kierkegaard,
568;All lives end, but not all conclude.;Soren Kierkegaard
570;He who loves God without faith reflects on himself, while the person who loves God in faith reflects on God.;Soren Kierkegaard
571;"... Believe a woman, you will regret it, believe her not, you will also regret that; believe a woman or believe her not, you will regret both; whether you believe a woman or believe her not, you will regret both. ...This, gentlemen, is the sum and substance of all philosophy.";Søren Kierkegaard,
574;It is not what happens to me that makes me great, but what I do.;Soren Kierkegaard
575;What is youth? A dream. What is love? The dream’s content.;Søren Kierkegaard,
576;"But Abraham believed, therefore he was young; for he who always hopes for the best becomes old, and he who is always prepared for the worst grows old early, but he who believes preserves an eternal youth.";Søren Kierkegaard,
577;"But it is just as useless for a man to want first of all to decide the externals and after that the fundamentals as it is for a cosmic body, thinking to form itself, first of all to decide the nature of its surface, to what bodies it should turn its light, to which its dark side, without first letting the harmony of centrifugal and centripetal forces realize [*realisere*] its existence [*Existents*] and letting the rest come of itself. One must learn first to know himself before knowing anything else (γνῶθι σε αυτόν). Not until a man has inwardly understood himself and then sees the course he is to take does his life gain peace and meaning; only then is he free of the irksome, sinister traveling companion―that irony of life which manifests itself in the sphere of knowledge and invites true knowing to begin with a not-knowing (Socrates), just as God created the world from nothing. But in the waters of morality it is especially at home to those who still have not entered the tradewinds of virtue. Here it tumbles a person about in a horrible way, for a time lets him feel happy and content in his resolve to go ahead along the right path, then hurls him into the abyss of despair. Often it lulls a man to sleep with the thought, ""After all, things cannot be otherwise,"" only to awaken him suddenly to a rigorous interrogation. Frequently it seems to let a veil of forgetfulness fall over the past, only to make every single trifle appear in a strong light again. When he struggles along the right path, rejoicing in having overcome temptation's power, there may come at almost the same time, right on the heels of perfect victory, an apparently insignificant external circumstance which pushes him down, like Sisyphus, from the height of the crag. Often when a person has concentrated on something, a minor external circumstance arises which destroys everything. (As in the case of a man who, weary of life, is about to throw himself into the Thames and at the crucial moment is halted by the sting of a mosquito). Frequently a person feels his very best when the illness is the worst, as in tuberculosis. In vain he tries to resist it but he has not sufficient strength, and it is no help to him that he has gone through the same thing many times; the kind of practice acquired in this way does not apply here. Just as no one who has been taught a great deal about swimming is able to keep afloat in a storm, but only the man who is intensely convinced and has experiences that he is actually lighter than water, so a person who lacks this inward point of poise is unable to keep afloat in life's storms.―Only when a man has understood himself in this way is he able to maintain an independent existence and thus avoid surrendering his own I. How often we see (in a period when we extol that Greek historian because he knows how to appropriate an unfamiliar style so delusively like the original author's, instead of censuring him, since the first prize always goes to an author for having his own style―that is, a mode of expression and presentation qualified by his own individuality)―how often we see people who either out of mental-spiritual laziness live on the crumbs that fall from another's table or for more egotistical reasons seek to identify themselves with others, until eventually they believe it all, just like the liar through frequent repetition of his stories.";Søren Kierkegaard
579;"If I could forget you! Is my love then a work of memory? Even if time expunged everything from its tablets, expunged even memory itself, my relation to you would stay just as alive, you would still not be forgotten. If I could forget you! What then should I remember? For after all, I have forgotten myself in order to remember you: so if I forgot you I would come to remember myself; but the moment I remembered myself I would have to remember you again. If I could forget you! What would happen then? There is a picture from antiquity. It depicts Ariadne. She is leaping up from her couch and gazing anxiously after a ship that is hurrying away under full sail. By her side stands Cupid with unstrung bow and drying his eyes. Behind her stands a winged female figure in a helmet. It is usually assumed this is Nemesis. Imagine this picture, imagine it changed a little. Cupid is not weeping and his bow is not unstrung; or would you have become less beautiful, less victorious, if I had become mad? Cupid smiles and bends his bow. Nemesis does not stand inactive by your side; she too draws her bow. In that other picture we see a male figure on the ship, busily occupied. It is assumed it is Theseus. Not so in my picture. He stands on the stern, he looks back longingly, spreads his arms. He has repented, or rather, his madness has left him, but the ship carries him away. Cupid and Nemesis both aim at him, an arrow flies from each bow; their aim is true; one sees that, one understands, they have both hit the same place in his heart, a sign that his love was the Nemesis that wrought vengeance.""  ―Johannes de Silentio, from_Either/Or: A Fragment of Life_";Søren Kierkegaard
580;The most painful state of being is remembering the future, particularly one you can never have.;Soren Kierkegaard
581;By comparison with a passionate age, an age without passion gains in scope what is loses in intensity.;Søren Kierkegaard,
582;"Christianity will not be content to be an evolution within the total category of human nature; an engagement such as that is too little to offer to a god. Neither does it even want to be the paradox for the believer, and then surreptitiously, little by little, provide him with understanding, because the martyrdom of faith (to crucify one's understanding) is not a martyrdom of the moment, but the martyrdom of continuance.";Søren Kierkegaard,
583;salvation consists primarily in his beginning to sorrow earnestly over himself!;Søren Kierkegaard,
584;On principle' one can do anything and what one does is, fundamentally, a matter of indifference, just as a man's life remains insignificant even though 'on principle' he gives his support to all the 'needs of the times.;Søren Kierkegaard,
585;Of a man who only wills the Good out of fear of punishment, it is necessary to say with special emphasis, that he fears what a man should not and ought not to fear: loss of money, loss of reputation, misjudgment by others, neglect, the world’s judgment, the ridicule of fools, the laughter of the frivolous, the cowardly whining of consideration, the inflated triviality of the moment, the fluttering mist-forms of vapor.;Søren Kierkegaard,
586;In a theater it happened that a fire stated offstage. The clown came out to tell the audience. They thought it was a joke and applauded. He told them again, and they became still more hilarious. This is the way, I suppose, that the world will be destroyed- amid the universal hilarity of wits and wags who think it is all a joke.;Soren Kierkegaard
587;"Socrates proved the immortality of the soul from the fact that the sickness of the soul (sin) does not consume it as sickness of the body consumes the body. So also we can demonstrate the eternal in man from the fact that despair cannot consume his self, that this precisely is the torment of contradiction in despair. If there were nothing eternal in a man, he could not despair; but if despair could consume his self, there would still be no despair.";Søren Kierkegaard
588;All this is only fooling, for if it is true that every man must work for his own salvation, then all the prophecies about the future of the world are only valuable and allowable as a recreation, or a joke, like playing bowls or cards.;Søren Kierkegaard,
589;If the sphere of paradox-religion is abolished, or explained away in aesthetics, an Apostle becomes neither more nor less than a genius, and then--good night, Christianity! Esprit and the Spirit, revelation and originality, a call from God and genius, all end by meaning more or less the same thing.;Søren Kierkegaard,
590;"It may happen, however, that he falls into despair just for the fact that he has opened his heart to another; it may be that he thinksit would have been infinitely preferable to maintain silence rather than have anyone privy to his secret. There are examples of introverts who are brought to despair precisely because they have acquired a confidant.";Søren Kierkegaard,
591;"In love with myself, that is what people say I am. It doesn’t surprise me, for how could they notice that I can love when I love only you; how could anyone else suspect it when I love only you? In love with myself. Why? Because I’m in love with you, because it is you I love, you alone, and all that truly belongs to you, and it is thus I love myself, because this, my self, belongs to you, so that if I ceased loving you I would cease loving myself. What then is, in the eyes of the profane world, an expression of the greatest egoism, is for your initiated eyes the expression of purest sympathy; what in the profane eyes of the world is an expression of the most prosaic self-preservation, is for your sacred sight the expression of the most enthusiastic self-annihilation.―Johannes de Silentio, from_Either/Or: A Fragment of Life_";Søren Kierkegaard
592;"But now how can an Apostle prove that he has authority? If he could prove it physically, then he would not be an Apostle. He has no other proof than his own statement. That has to be so; for otherwise the believer's relationship to him would be direct instead of being paradoxical.";Søren Kierkegaard,
593;In any case one can never forbear to smile at such a despairer, who, humanly speaking, although he is in despair, is so very innocent. Commonly such a despairer is infinitely comic. Think of a self (and next to God there is nothing so eternal as a self), and then that this self gets the notion of asking whether it might not let itself become or be made into another…than itself. And yet such a despairer, whose only wish is this most crazy of all transformations, loves to think that this change might be accomplished as easily as changing a coat. For the immediate man does not recognize his self, he recognizes himself only by his dress, he recognizes (and here again appears the infinitely comic trait) he recognizes that he has a self only by externals.;Søren Kierkegaard,
594;Şcoala suferinţei e cea mai lungă, căci te pregăteşte pentru eternitate;Kierkegaard Soren
595;Just as gold is purified in the fire, so the soul is purified in sufferings.;Søren Kierkegaard
596;If man were a beast or an angel, he would not be able to be in anxiety. Since he is both beast and angel, he can be in anxiety, and the greater the anxiety, the greater the man.;Soren Kierkegaard
597;[T]he content of the discourse should be about loving the un-lovable object… The beloved and the friend are the immediate and direct objects of immediate love, the choice of passion and of inclination. And what is the ugly? It is the neighbor, whom one shall love (373).;Kierkegaard, Søren
598;"An existing individual is constantly in process of becoming,... and translates all his thinking into terms of process. It is with (him)... as it is with a writer and his style; for he only has a style who never has anything finished, but 'moves the waters of the language' every time he begins, so that the most common expression comes into being for him with the freshness of a new birth.";Kierkegaard
599;"Love is everything. So, for one who loves, everything has ceased to have meaning in itself and only means something through the interpretation love gives it. Thus if another betrothed became convinced there was some other girl he cared for, he would presumably stand there like a criminal and his fiancée be outraged. You, however, I know would see a tribute in such a confession; for me to be able to love another you know is an impossibility; it is my love for you casting its reflections over the whole of life. So when I care about someone else, it is not to convince myself that I do not love her but only you—that would be presumptuous; but since my whole soul is filled with you, life takes on another meaning for me: it becomes a myth about you.""—Johannes the Seducer, from_Either/Or_";Søren Kierkegaard
600;Anxiety can just as well express itself by muteness as by a scream.;Soren Kierkegaard
601;For every single individual who escapes into the crowd... flees in cowardice from being a single individual.;Søren Kierkegaard
602;What good would it do me if truth stood before me, cold and naked, not caring whether I recognized her or not?;Søren Kierkegaard
603;Everyone take his revenge on the world. My revenge consists in bearing my distress and anguish enclosed deeply within me while my laughter entertains everyone. If I see someone suffer I give him my sympathy, console him as best I can, and listen to him calmly when he assures me that I am fortunate. If only I can keep this up until the day I die I shall have had my revenge;Søren Kierkegaard
604;our Lord satisfied the stomach before satisfying the eye, but the imagination acts in the reverse fashion;kierkegaard De Soren
605;That in which all human life is unified is passion, and faith is a passion.;Soren Kierkegaard,
606;When indeed does the temporal suffering oppress a man most terribly? Is it not when it seems to him that it has no significance, that it neither secures nor gains anything for him? Is it not when the suffering, as the impatient man expresses it, is without meaning or purpose?;Søren Kierkegaard
607;"I am poor—you are my riches; dark—you are my light; I own nothing, need nothing. And how could I own anything? After all, it is a contradiction that he can own something who does not own himself. I am happy as a child who is neither able to own anything nor allowed to. I own nothing, for I belong only to you; I am not, I have ceased to be, in order to be yours. —Johannes De Silentio, from_Either/Or_";Søren Kierkegaard
608;Let the thunder of a hundred cannon remind you three times daily to resist the force of habit.;Søren Kierkegaard
609;After all, it is the best time of one’s life, the first period of falling in love, when with every meeting, every glance, one brings home something new to rejoice over.;Søren Kierkegaard,
610;One must see it close up, the callousness with which otherwise kind people act in the capacity of the public because their participation or non-participation seems to them a trifle - a trifle that with the contributions of the many becomes the monster.;Soren Kierkegaard
