S. No;Quotation;Author;;;;;;;;;;;;;;;;;;
270;The public is a host, more numerous than all the peoples together, but it is a body which can never be reviewed, it cannot even be represented, because it is an abstraction. Nevertheless, when the age is reflective and passionless and destroys everything concrete, the public becomes everything and is supposed to include everything. And that again shows how the individual is thrown back upon himself.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
271;Only the one who descends into the underworld rescues the beloved.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
272;Reflection is not the evil;;;;;;;;;;;;;;;;;;;
273;What is a poet? A poet is an unhappy being whose heart is torn by secret sufferings, but whose lips are so strangely formed that when the sighs and the cries escape them, they sound like beautiful music… and men crowd about the poet and say to him: Sing for us soon again;;;;;;;;;;;;;;;;;;;
274;People unable to bear the martyrdom [...] unintelligently jump off the path, and choose instead, conveniently enough, the world’s admiration of their proficiency. The true knight of faith is a witness, never a teacher, and in this lies the deep humanity in him which is more worth than this foolish concern for others’ weal and woe which is honoured under the name of sympathy, but which is really nothing but vanity.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
275;Whatever the one generation may learn from the other, that which is genuinely human no generation learns from the foregoing...Thus no generation has learned from another to love, no generation begins at any other point than at the beginning, no generation has a shorter task assigned to it than had the previous generation.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
276;Now she has power and passion and the struggle has significance for me-let the momentary consequences be what they may. Suppose that in her pride she becomes giddy, suppose that she does break with me-all right! -she has her freedom, but she will still belong to me. That the engagement should bind her is silly-I want to possess her only in her freedom;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
277;What a difference! Under the esthetic sky, everything is buoyant, beautiful, transient! when ethics arrives on the scene, everything becomes harsh, angular and infinitely boring;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
278;He cannot become old, for he has never been young;;;;;;;;;;;;;;;;;;;
279;When you are one of several, then you have lost your freedom;;;;;;;;;;;;;;;;;;;
280;No one is any longer carried away by the desire for the good to perform great things, no one is precipitated by evil into atrocious sins, and so there is nothing for either the good or the bad to talk about, and yet for that very reason people gossip all the more, since ambiguity is tremendously stimulating and much more verbose than rejoicing over goodness or repentance over evil.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
281;In order than everything should be reduced to the same level, it is first of all necessary to procure a phantom, its spirit, a monstrous abstraction, an all-embracing something which is nothing, a mirage--and that phantom is the public.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
282;More and more individuals, owing to their bloodless indolence, will aspire to be nothing at all--in order to become the public: that abstract whole formed in the most ludicrous way, by all participants becoming a third party (an onlooker).;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
283;The more a person limits himself, the more resourceful he becomes.;kierkegaard De Soren;;;;;;;;;;;;;;;;;;
284;No one may pride himself at being more than an individual, and no one despondently think that he is not an individual...;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
285;Now, it is of course well known that Christ continually uses the expression 'imitators.' He never says that he asks for admirers, adoring admirers, adherents;;;;;;;;;;;;;;;;;;;
286;On the whole, the longing for solitude is a sign that there still is spirit in a person and is the measure of what spirit there is. [...] In antiquity as well as in the Middle Ages there was an awareness of this longing for solitude and a respect for what it means;;;;;;;;;;;;;;;;;;;
287;No one ever comes back from the dead., no one ever enters the world without weeping;;;;;;;;;;;;;;;;;;;
288;I am poor—you are my riches;;;;;;;;;;;;;;;;;;;
289;For the sadness in legitimate humour consists in the fact that honestly and without deceit it reflects in a purely human way upon what it is to be a child.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
290;Supliciul disperării constă tocmai în faptul că nu poţi muri. De aceea, ea se apropie mai mult de starea de agonie, când zaci, te chinuieşti de moarte şi nu poţi muri. Astfel, a fi bolnav de moarte înseamnă a nu putea muri, totuşi nu ca şi când ar persista speranţa de a supravieţui, nu, ci absenţa speranţei constă în faptul că nu mai există nici măcar ultima speranţă, moartea. Atunci când pericolul suprem este moartea, ea speră în viaţă;;;;;;;;;;;;;;;;;;;
291;Metaphorically speaking, a person's ideas must be the building he lives in - otherwise there is something terribly wrong.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
292;Theology sits rouged at the window and courts philosophy's favor, offering to sell her charms to it.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
293;Philosophy cannot and should not give us an account of faith, but should understand itself and know just what it has indeed to offer, without taking anything away, least of all cheating people out of something by making them think it is nothing.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
294;She was a riddle, who mysteriously possessed her own solution, a secret, and what are all diplomats' secrets compared with this, an enigma, and what in all the world is so beautiful as the word that solves it?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
295;I think I have the courage to doubt everything;;;;;;;;;;;;;;;;;;;
296;What philosophers say about actuality [Virkelighed] is often just as disappointing as it is when one reads on a sign in a secondhand shop: Pressing Done Here. If a person were to bring his clothes to be pressed, he would be duped, for the sign is merely for sale.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
297;Ulysses was not comely, but he was eloquent,Yet he fired two goddesses of the sea with love;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
298;They were not unfortunate girls who, as outcasts or in the belief that they were cast out by society, grieved wholesomely and intensely and, once in a while at times when the heart was too full, ventilated it in hate or forgiveness. No visible change took place in them;;;;;;;;;;;;;;;;;;;
299;Prayer is listening.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
300;ماذا لو أن كل شيء في هذا العالم هو عبارة عن سوء فهم؟ماذا لو أن الضحك في الحقيقة هو بكاء؟;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
301;In fact one is tempted to ask whether there is a single man left ready, for once, to commit an outrageous folly.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
302;Only the lower natures forget themselves and become something new. Thus the butterfly has entirely forgotten that it was a caterpillar, perhaps it may in turn so entirely forget it was a butterfly that is becomes a fish.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
303;How empty life is and without meaning. - We bury a man, we follow him to the grave, we throw three spades of earth on him, we ride out in a coach, we ride home in a coach, we take comfort in the thought that a long life awaits us. But how long is threescore years and ten? Why not finish it at once?;Soren Kierkeggard;;;;;;;;;;;;;;;;;;
304;The biggest danger, that of losing oneself, can pass off in the world as quietly as if it were nothing;;;;;;;;;;;;;;;;;;;
305;Deep within every man there lies the dread of being alone in the world, forgotten by God, overlooked among the household of millions upon millions.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
306;Spiritual superiority only sees the individual. But alas, ordinarily we human beings are sensual and, therefore, as soon as it is a gathering, the impression changes- we see something abstract, the crowd, and we become different. But in the eyes of God, the infinite spirit, all the millions that have lived and now live do not make a crowd, He only sees each individual.;Sören Kierkegaard;;;;;;;;;;;;;;;;;;
307;I am convinced that God is love, this thought has for me a primitive lyrical validity. When it is present to me, I am unspeakably blissful, when it is absent, I long for it more vehemently than does the lover for his object;;;;;;;;;;;;;;;;;;;
308;He who is educated by anxiety is educated by possibility… When such a person, therefore, goes out from the school of possibility, and knows more thoroughly than a child knows the alphabet that he demands of life absolutely nothing, and that terror, perdition, annihilation, dwell next door to every man, and has learned the profitable lesson that every dread which alarms may the next instant become a fact, he will then interpret reality differently…;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
309;لقد كتبت فلسفتي بدمي;سورين كيركجارد;;;;;;;;;;;;;;;;;;
310;#¿NOMBRE?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
311;Anyone not wanting to sink in the wretchedness of the finite is obliged in the most profound sense to struggle with the infinite.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
312;خود بودن; ماجراجویانه است. مانند دیگران بودن; نسخه ی تقلیدی بودن; تبدیل شدن به یک عدد در میان جمعیت; بسیار آسان تر و امن تر است.;Søren Kierkegaard,;;;;;;;;;;;;;;
313;The majority enjoy a young girl as they enjoy a glass of champagne, at one effervescent moment-oh, yes, that is really beautiful, and with many a young girl that is undoubtedly the most one can attain, but here there is more. If an individual is too fragile to stand clarity and transparency, well, then one enjoys what is unclear, but apparently she can stand it. The more devotedness one can bring to erotic love, the more interesting. This momentary enjoyment is a rape, even if not outwardly but nevertheless mentally, and in a rape there is only imagined enjoyment;;;;;;;;;;;;;;;;;;;
314;All men have a natural fear of making a mistake--by believing too well of a person. However, the error of believing too ill of a person is perhaps not feared, at least not in the same degree as the other.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
315;If we ask what poetry is we may say in general that it is a victory over the world;;;;;;;;;;;;;;;;;;;
316;Birkaç ağlama nöbetinin ardından şimdi şu dingin ruh haliyle ne kadar güzelleşti. Varlığı hüzünle acının güzel bir uyumu;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
317;Spiritually, a man's thoughts must be the building in which he lives, otherwise it's wrong.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
318;Life's existential tasks have lost the interest of reality;;;;;;;;;;;;;;;;;;;
319;Great Shakespeare!, you who can say everything, everything, everything exactly as it is – and yet why was this torment one you never gave voice to? Was it perhaps that you kept it to yourself, like the beloved whose name one still cannot bear the world to mention? For a poet buys this power of words to utter all the grim secrets of others at the cost of a little secret he himself cannot utter.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
320;In eternity it will be asked whether you may not have damaged a good thing, in order that you also might judge with them that did not know how to judge, but who possessed the crowd's strength, which in the temporal sense is significant, but to which eternity is wholly indifferent.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
321;No one shall be forgotten who was great in this world;;;;;;;;;;;;;;;;;;;
322;Sitting calmly on a ship in fair weather is not a metaphor for having faith;;;;;;;;;;;;;;;;;;;
323;The misfortune of our time is just this, that it has become simply nothing else but 'time', the temporal, which is impatient of hearing anything about eternity.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
324;My grief is my castle, which like an eagle's nest is built high up on the mountain peaks among the clouds;;;;;;;;;;;;;;;;;;;
325;ماذا لو أن كل شيء في هذا العالم هو عبارة عن سوء فهم؟ ماذا لو أن الضحك في الحقيقة هو عبارة عن بكاء؟;سورين كيركجارد;;;;;;;;;;;;;;;;;;
326;By seeing the multitude of people around it, by being busied with all sorts of worldly affairs, by being wise to the ways of the world, such a person forgets himself, in a divine sense forgets his own name, dares not believe in himself, finds being himself too risky, finds it much easier and safer to be like the others, to become a copy, a number, along with the crowd. Now this form of despair goes practically unnoticed in the world. Precisely by losing oneself in this way, such a person gains all that is required for a flawless performance in everyday life, yes, for making a great success out of life. Here there is no dragging of the feet, no difficulty with his self and its infinitizing, he is ground smooth as a pebble, as exchangeable as a coin of the realm. Far from anyone thinking him to be in despair, he is just what a human being ought to be. Naturally, the world has generally no understanding of what is truly horrifying.;Kierkegaard;;;;;;;;;;;;;;;;;;
327;The less support an idea has,the more fervently it must be believed in, so that a totally preposterous idea requires unflinching faith.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
328;در حالی که زندگی را فقط با نگاه به گذشته می‌توان درک کرد; باید آن را با نگاه به آینده ادامه داد;Søren Kierkegaard;;;;;;;;;;;;;;;;;
329;Even though it be true that the conception of God is absolute help, it is also the only help which is absolutely capable of revealing to man his own helplessness.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
330;Those who bore others are the plebians, the mass, the endless train of humanity in general. Those who bore themselves are the elect, the nobility;;;;;;;;;;;;;;;;;;;
331;It isn't at all difficult for philosophy to begin. Far from it: it begins with nothing and can accordingly always begin. What seems so difficult to philosophy and the philosophers is to stop.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
332;To be isolated is always to assert oneself numerically;;;;;;;;;;;;;;;;;;;
333;Thus ressentiment becomes the constituent principle of want of character, which from utter wretchedness tries to sneak itself a position, all the time safeguarding itself by conceding that it is less than nothing. The ressentiment which results from want of character can never understand that eminent distinction really is distinction. Neither does it understand itself by recognizing distinction negatively (as in the case of ostracism) but wants to drag it down, wants to belittle it so that it really ceases to be distinguished. And ressentiment not only defends itself against all existing forms of distinction but against that which is still to come.The ressentiment which is establishing itself is the process of levelling.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
334;The levelling process is the victory of abstraction over the individual. The levelling process in modern times, corresponds, in reflection, to fate in antiquity.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
335;To relate oneself expectantly to the possibility of the good is to hope. To relate oneself expectantly to the possibility of evil is to fear. By the decision to choose hope one decides infinitely more than it seems, because it is an eternal decision;Kierkegaard;;;;;;;;;;;;;;;;;;
336;These words were spoken by Him to whom, according to His own statement, is given all power in heaven and on earth. You who hear me must consider within yourselves whether you will bow before his authority or not, accept and believe the words or not. But if you do not wish to do so, then for heaven's sake do not go and accept the words because they are clever or profound or wonderfully beautiful, for that is a mockery of God.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
337;The humorous self-sufficiency of genius is the unity of a modest resignation in the world and a proud elevation above the world: of being an unnecessary superfluity and a precious ornament. If the genius is an artist, then he accomplishes his work of art, but neither he nor his work of art has a telos outside him. Or he is an author, who abolishes every teleological relation to his environment and humorously defines himself as a poet. Lyrical art has certainly no telos outside it: and whether a man writes a short lyric or folios, it makes no difference to the quality of the nature of his work. The lyrical author is only concerned with his production, enjoys the pleasure of producing, often perhaps only after pain and effort;;;;;;;;;;;;;;;;;;;
338;Boredom is the only continuity the ironist has.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
339;"The genius differs from us men in being able to endure isolation, his rank as a genius is proportionate to his strength for enduring isolation, whereas we men are constantly in need of ""the others,"" the herd";;;;;;;;;;;;;;;;;;;
340;The bird keeps silent and suffers. However much heartache it has, it keeps silent. It does not complain;;;;;;;;;;;;;;;;;;;
341;Man is the synthesis of the infinite and the finite, the temporal and the eternal, of freedom and necessity, in short it is a synthesis. A synthesis is a relation between two factors. So regarded, man is not yet a self.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
342;one cannot seek for what he knows, and it seems equally impossible for him to seek for what he does not know. For what a man knows he cannot seek, since he knows it;;;;;;;;;;;;;;;;;;;
343;The task is not to find the lovable object, but to find the object before you lovable – whether given or chosen – and to be able to continue finding this one lovable, no matter how that person changes. To love is to love the person one sees.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
344;Therefore, truth is not a matter of knowing this or that but of being in the truth.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
345;"انسانى كه در شادى و غم زندگى چنان غرق مى شود كه سراسر عمرش از ""نفْس"" و ""خويشتنِ"" خود آگاه نمى شود، زندگى اش به هدر رفته است.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
346;"مردم از کنار بزرگ ترین خطر، که همانا از دست دادنِ ""خویشتنِ"" خود است، چنان بی سر و صدا می گذرند که انگار هیچ اهمیتی ندارد؛ از دست دادنِ هر چیز دیگر، مثل دست و پا، یک پنج دلاری، همسر و غیره، بیشتر مورد توجهشان قرار می گیرد.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
347;...for our times are not satisfied with faith and not even with the miracle of changing water into wine - they 'go right on,' changing wine into water.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
348;Courage is life's only measure.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
349;Our age reminds one of the dissolution of the Greek city-state: Everything goes on as usual and yet there is no longer anyone who believes in it. The invisible spiritual bond which gives it validity, no longer exists, and so the whole age is at once comic and tragic--tragic because it is perishing, comic because it goes on.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
350;I am courteous enough to assume that everyone in this so aesthetically voluptuous age, so potent and aroused that conception occurs as easily as with the partridge which, Aristotle says, needs only to hear the voice of the cock or its flight overhead - to assume that at the mere sound of the word 'concealment' everyone can easily shake a dozen romances and comedies from his sleeve.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
351;To believe is indeed to lose the understanding in order to gain God.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
352;Sin is: in despair not wanting to be oneself before God.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
353;When I get up in the morning I go straight back to bed again. I feel best in the evening, the moment I dowse the candle, pull the eiderdown over my head. I raise myself up once more, look about the room with an indescribable peace of mind, and then it's goodnight, down under the eiderdown.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
354;One can very well eat lettuce before its heart has been formed;;;;;;;;;;;;;;;;;;;
355;وفي حالة ذلك الشاب الغني الذي التقى به المسيح في الطريق وباع كل بضاعته وأعطى الفقير-فإننا ينبغي أن نمجده كما نمجد كل شئ عظيم-وإن كنا لا نستطيع أن نفهمه دون أن نكدح;سرن كيركجور,;;;;;;;;;;;;;;;;;;
356;No, like worldly contempt, worldly honor is a whirlpool, a play of confused forces, an illusory moment in the flux of opinions. It is a sense-deception, as when a swarm of insects at a distance seem to the eye like one body;;;;;;;;;;;;;;;;;;;
357;A superstitious belief which embraces an error keeps the possibility open that the truth may come to arouse it;;;;;;;;;;;;;;;;;;;
358;The true knight of faith is always absolute isolation, the false knight is sectarian. This sectarianism is an attempt to leap away from the narrow path of the paradox and become a tragic hero at a cheap price. The tragic hero expresses the universal and sacrifices himself for it. The sectarian punchinello, instead of that, has a private theatre, i.e. several good friends and comrades who represent the universal just about as well as the beadles in The Golden Snuffbox represent justice. The knight of faith, on the contrary, is the paradox, is the individual, absolutely nothing but the individual, without connections or pretensions. This is the terrible thing which the sectarian manikin cannot endure. For instead of learning from this terror that he is not capable of performing the great deed and then plainly admitting it (an act which I cannot but approve, because it is what I do) the manikin thinks that by uniting with several other manikins he will be able to do it. But that is quite out of the question. In the world of spirit no swindling is tolerated.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
359;My opinion is, of course, completely my own. I would not impose it on anyone else and decline any pressure to change it.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
360;Reflection is and remains the hardest creditor in existence;;;;;;;;;;;;;;;;;;;
361;People commonly travel the world over to see rivers and mountains, new stars, garish birds, freak fish, grotesque breeds of human;;;;;;;;;;;;;;;;;;;
362;What is decisive is that with God everything is possible. . . This is indeed a generally recognized truth, which is commonly expressed in this way, but the critical decision does not come until a person is brought to his extremity, when, humanly speaking, there is no possibility. Then the question is whether he will believe that for God everything is possible...;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
363;If I had a humble spirit in my service who, when I asked for a glass of water, brought me the world's costliest wines blended in a chalice, I should dismiss him, in order to teach him that my pleasure consists, not in what I enjoy, but in having my own way.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
364;What we call worldliness simply consists of such people who, if one may so express it, pawn themselves to the world.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
365;The reward of the good man is to be allowed to worship in truth.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
366;How to be listed as a dream in the mind of a young girl is an art, going out is a masterpiece.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
367;It is now my intention to draw out from the story of Abraham the dialecticalconsequences inherent in it, expressing them in the form ofproblemata, in order to seewhat a tremendous paradox faith is, a paradox which is capable of transforming amurder into a holy act well-pleasing to God, a paradox which gives Isaac back toAbraham, which no thought can master, because faith begins precisely there wherethinking leaves off.;Kierkegaard, Søren;;;;;;;;;;;;;;;;;;
368;How dreadful boredom is — how dreadfully boring;;;;;;;;;;;;;;;;;;;
369;As the calm lake stems from the deep spring that no eye saw, so too a person's love has a still deeper ground, in God's love. If there were no gushing spring at the bottom, if Hod were not love, then neither would there be the little lake nor either a person's love. As the calm lake stems darkly from the deep spring, so a person's love originate mysteriously in God's. As the calm lake indeed invites you to contemplate it, yet with the darkness of the reflection prevents you from seeing through it, so does love's mysterious origin in God's love prevent you from seeing its ground. When you think you see it, it is a reflection that deceives you, as if what only hides the deeper ground were itself the ground.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
370;The person whose joy is dependant upon certain conditions is not himself joyful;;;;;;;;;;;;;;;;;;;
371;To stand on one leg and prove God's existence is a very different thing from going on one's knees and thanking Him.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
372;The more consciousness there is in such a sufferer who in despair wills to be himself, the more his despair intensifies and becomes demonic. It usually originates as follows. A self that in despair wills to be itself is pained in some distress or other that does not allow itself to be taken away from or separated from his concrete self. So now he makes precisely this torment the object of all his passion, and finally it becomes a demonic rage. By now, even if God in heaven and all the angels offered to help him out of it- no, he does not want that, now it is too late. Once he would gladly have given everything to be rid of this agony, but he was kept waiting;;;;;;;;;;;;;;;;;;;
373;Besides, Christianity is not a doctrine to be taught, but rather a life to be lived.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
374;الحق قوة; لكننا لا نراه هكذا إلا في حالات نادرة. لأنه حق يتألم دائماً ويجب أن يُهزم طالما هو حق· أما عندما ينتصر هذا الحق فنرى الآخرين ينصتون إليه· لماذا؟ ألأنه حق؟ لا;" فلو كان لهذا السبب لانضموا إليه عندما كان يتألم أيضاً· ولهذا فإن عدم انضمامهم إليه ليس للقوة التي يمتلكها؛ إنهم ينضمون إليه بعد أن يصبح قوة لأن الآخرين يكونون قد سبقوهم لذلك.";Søren Kierkegaard;;;;;;;;;;;;;;;;
375;Imagination is what providence uses to take men captive in actuality, in existence, in order to get them far enough out, or within, or down into existence. And when imagination has helped them get as far out as they should be - then actuality genuinely begins.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
376;"Something wonderful has happened to me. I was carried up into the seventh heaven. There all the gods sat assembled. By special grace I was granted the favor of a wish. ""Will you,"" said Mercury, ""have youth, or beauty, or power, or a long life, or the most beautiful maiden, or any of the other glories we have in the chest? Choose, but only one thing."" For a moment I was at a loss. Then I addressed myself to the gods as follows: ""Most honorable contemporaries, I choose this one thing, that I may always have the laugh on my side."" Not one of the gods said a word, on the contrary, they all began to laugh. Hence, I concluded that my request was granted, and found that the gods knew how to express themselves with great taste";;;;;;;;;;;;;;;;;;;
377;Love has many mysteries, and this first infatuation is also a mystery, even if a minor one - most people who rush into it get engaged or indulge in other foolish pranks, and then it's all over with the twinkling of an eye and they don't know what they have conquered or what they have lost.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
378;All distinctions between the many different kinds of love are essentially abolished by Christianity.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
379;So now begins the first war with Cordelia' in which I retreat and thereby teach her to be victorious as she pursues me. I continually fall back, and in this backward movement I teach her to know through me all the powers of erotic love, its turbulent thoughts' its passion, what longing is, and hope, and impatient expectancy. As I perform this set of steps before her' all this will correspondingly in her' It is a triumphant procession in which I am leading her, and I myself am just as much the one who dithyrambically sings praises to her victory as I am the one who shows the way. She will gain courage to believe in erotic love, to believe it is an etemal force, when she sees its dominion over me, sees my movements. She will believe me, partly because I rely on my artistry, and partly because at the bottom of what I am doing there is truth. If that were not the case, she would not believe me. With my every move, she becomes stronger and stronger;;;;;;;;;;;;;;;;;;;
380;The highest and most beautiful things in life are not to be heard, nor read about, nor seen, but, if one will, are to be lived.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
381;ومن المفترض أن فهم هيجل شئ صعب;على أن فهم إبراهيم شئ تافه;وتجاوز هيجل يعد معجزة;أما تجاوز إبراهيم فأسهل شئ على الإطلاق;أما أنا-فمن ناحيتي-قد كرست وقتاً طويلاً لفهم الفلسفة الهيجلية;ولكن عندما تكون هناك فقرات معينة لا أستطيع أن أفهمها على الرغم من المشقة التي أخذت بها نفسي;فإنني من الجرأة بحيث أعتقد أن هيجل نفسه لم يكن واضحاً تمام الوضوح;سرن كيركجور,;;;;;;;;;;;;
382;But we are curious about the result, just as we are curious about the way a book turns out. We do not want to know anything about the anxiety, the distress, the paradox. We carry on an esthetic flirtation with the result. It arrives just as unexpectedly but also just as effortlessly as a prize in a lottery, and when we have heard the result, we have built ourselves up.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
383;The supreme paradox of all thought is the attempt to discover something that thought cannot think.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
384;Los recuerdos, con el tiempo, se vuelven un precioso tema de conversación y en su alma causará más efecto aquello que conmovió tan profundamente su sentir.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
385;Este un punct de vedere superficial (al unui om care probabil n-a văzut vreodată un om disperat, nici măcar pe sine însuşi) atunci când se spune despre un disperat, de parcă aceasta i-ar fi pedeapsa, că el se distruge pe sine. Căci tocmai aceasta vrea cu disperare şi, spre durerea sa, nu poate, fiindcă prin disperare a fost dat pradă flacărilor ceva ce nu poate arde sau nu poate să fie mistuit, sinele. O fetişcană disperă din dragoste, deci disperă pentru pierderea iubitului, care a murit sau i-a devenit infidel. Aceasta nu este o disperare care s-a manifestat, ci ea disperă pentru ea însăşi. Acest sine al ei, de care s-ar fi eliberat sau pe care l-ar fi pierdut la modul cel mai încântător cu putinţă dacă ar fi devenit iubita «lui». Acest sine este acum pentru ea o calamitate, pentru că trebuie să fie un sine fără «el»;;;;;;;;;;;;;;;;;;;
386;Que otros se lamenten de que los tiempos son malos;;;;;;;;;;;;;;;;;;;
387;Durven is even de grond onder je voeten verliezen. Niet durven is je leven verliezen. ;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
388;The slaves of paltriness, the frogs in life’s swamp, will naturally cry out, Such a love is foolishness. The rich brewer’s widow is a match fully as good and respectable. Let them croak.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
389;Equally unthinkable among young men of today is a truly religious renunciation of the world, adhered to with daily self-denial. On the other hand almost any theological student is capable of something far more wonderful. He could found a society with the sole object of saving all those who are lost. The age of great and good actions is past, the present is the age of anticipation when even recognition is received in advance.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
390;Siapakah penyair? Seseorang yang tidak bahagia yang menyembunyikan kesedihan yang sangat mendalam di dalam hatinya, tapi bibirnya berbentuk sedemikian rupa, sehingga desakan dan tangisan yang melaluinya terdengar seperti musik yang indah.;Soren Kirkegaard;;;;;;;;;;;;;;;;;;
391;she does not suspect how much reason I have for deprecating all sympathy.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
392;An increased power of reflection like an increased knowledge only adds to man's affliction, and above all it is certain that for the individual as for the generation no task is more difficult than to escape from the temptations of reflection, simply because they are so dialectical and the result of one clever discovery may give the whole question a new turn, because at any moment reflection is capable of explaining everything quite differently and allowing one some way of escape;;;;;;;;;;;;;;;;;;;
393;There are many people who reach their conclusions about life like schoolboys;;;;;;;;;;;;;;;;;;;
394;Not merely in the realm of commerce but in the world of ideas as well our age is organizing a regular clearance sale. Everything is to be had at such a bargain that it is questionable whether in the end there is anybody who will want to bid.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
395;The dialectic of antiquity tended towards leadership (the great individual and the masses--the free man and the slaves);;;;;;;;;;;;;;;;;;;
396;But the present generation, wearied by its chimerical efforts, relapses into complete indolence. Its condition is that of a man who has only fallen asleep towards morning: first of all come great dreams, then a feeling of laziness, and finally a witty or clever excuse for remaining in bed.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
397;The tedium vitae so constant in antiquity was due to the fact that the outstanding individual was what others could not be;;;;;;;;;;;;;;;;;;;
398;A man who cannot seduce men cannot save them either.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
399;What is reasoning? It is the result of doing away with the vital distinction which separates subjectivity and objectivity. As a form of abstract thought reasoning is not profoundly dialectical enough;;;;;;;;;;;;;;;;;;;
400;A crowd in its very concept is the untruth, by reason of the fact that it renders the individual completely impenitent and irresponsible, or at least weakens his sense of responsibility by reducing it to a fraction.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
401;Genius never desires what does not exist.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
402;What I complain of is that life is not like a novel where there are hard-hearted fathers, and goblins and trolls to fight with, enchanted princesses to free. What are all such enemies taken together compared to the pallid, bloodless, glutinous nocturnal shapes with which I fight and to which I myself give life and being.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
403;if god loves me, he is my mortal enemy;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
